source,target,type
11998042,30311456,Undirected
11998042,2899885,Undirected
11998042,2659808,Undirected
12792843,45185186,Undirected
12664412,45039324,Undirected
12664412,45185186,Undirected
12280049,50034729,Undirected
11981369,12060503,Undirected
11981369,44734260,Undirected
11981369,49829307,Undirected
12351536,6063374,Undirected
12351536,6449130,Undirected
12351536,45033491,Undirected
12351536,44734260,Undirected
12351536,49855224,Undirected
12795237,26144851,Undirected
12795237,48548443,Undirected
12047380,3854854,Undirected
12047380,49965579,Undirected
12047380,49916746,Undirected
11998526,26730771,Undirected
27180573,45205235,Undirected
27097779,45681822,Undirected
27097779,45465510,Undirected
27097779,50076902,Undirected
26214907,30311456,Undirected
26316927,31896749,Undirected
26316927,3297493,Undirected
26316927,37444146,Undirected
28123767,27851364,Undirected
28123767,44757128,Undirected
28094532,32486569,Undirected
28094532,5685147,Undirected
28094532,45483445,Undirected
28479135,28116313,Undirected
28479135,27982218,Undirected
31187363,25971688,Undirected
31339310,36805363,Undirected
30473818,49931824,Undirected
31379220,26417455,Undirected
31379220,32686082,Undirected
31379220,61733608,Undirected
31379220,48548443,Undirected
30818490,32486569,Undirected
30391520,32111200,Undirected
30391520,33709206,Undirected
30391520,25300989,Undirected
54346416,50015159,Undirected
17522852,45033491,Undirected
35471069,37180945,Undirected
36786772,45052335,Undirected
156762,22921474,Undirected
156762,4453807,Undirected
156762,3370569,Undirected
166331,45542224,Undirected
288167,26114336,Undirected
288167,26730771,Undirected
288167,33720317,Undirected
288167,50034729,Undirected
157860,26730771,Undirected
157860,7891048,Undirected
233413,3145533,Undirected
233413,37310395,Undirected
177056,26731401,Undirected
177056,30604219,Undirected
177056,49595649,Undirected
177056,49896844,Undirected
177056,49850993,Undirected
240339,32486569,Undirected
240339,45033491,Undirected
189850,26731401,Undirected
189850,45033491,Undirected
189850,29378583,Undirected
189850,49736680,Undirected
189850,50015159,Undirected
361973,47149066,Undirected
361973,45205471,Undirected
361973,45163881,Undirected
361973,45483445,Undirected
361973,3804927,Undirected
361973,49853610,Undirected
406613,7905446,Undirected
406613,50073142,Undirected
406613,49885058,Undirected
357723,49885058,Undirected
399805,49850993,Undirected
477840,26144851,Undirected
477840,47235222,Undirected
408697,2963811,Undirected
437464,27982218,Undirected
431302,2659808,Undirected
363163,7905446,Undirected
363163,3145533,Undirected
363163,3381621,Undirected
468967,28116313,Undirected
468967,45036233,Undirected
468967,29378583,Undirected
468967,49610651,Undirected
7873992,27982218,Undirected
7873992,31008675,Undirected
7354003,31267614,Undirected
7354003,5547088,Undirected
7354003,4515800,Undirected
8016517,3406936,Undirected
7485563,2046188,Undirected
7236156,3381621,Undirected
7346154,27482326,Undirected
7346154,33720317,Undirected
31927744,46273961,Undirected
32536229,45094706,Undirected
32536229,45340860,Undirected
32268726,32915739,Undirected
32268726,47570086,Undirected
32587419,32111200,Undirected
32696552,33709206,Undirected
32696552,5523348,Undirected
32523940,32486569,Undirected
31922315,34162327,Undirected
32083607,50076902,Undirected
32651200,32111200,Undirected
32651200,33709206,Undirected
32651200,49854542,Undirected
31922056,47130158,Undirected
31922056,48884055,Undirected
33193871,45185435,Undirected
32792246,34162327,Undirected
32792246,45163881,Undirected
32792246,45094787,Undirected
33209053,3804927,Undirected
33209150,19012164,Undirected
33209150,49875076,Undirected
33209150,49763300,Undirected
35209680,27851364,Undirected
35209680,30604219,Undirected
35209680,2046282,Undirected
35209680,45205471,Undirected
35209680,49965579,Undirected
35209680,49858181,Undirected
35383771,45542224,Undirected
35383771,3804927,Undirected
34949740,33720317,Undirected
34010093,45465510,Undirected
34683464,31008675,Undirected
12795632,34162327,Undirected
12795632,45340860,Undirected
12795632,49641638,Undirected
19350385,31267614,Undirected
26045918,27482326,Undirected
26045918,45513470,Undirected
26045918,50015159,Undirected
693474,49936891,Undirected
665102,26417455,Undirected
665102,31008675,Undirected
706482,36538624,Undirected
1157930,12385024,Undirected
1157930,2899885,Undirected
1363900,2178427,Undirected
1363900,3007086,Undirected
1354058,24905245,Undirected
1350212,31896749,Undirected
1325618,37444146,Undirected
1153351,3006486,Undirected
1153351,3145533,Undirected
1960404,2392988,Undirected
1960404,2415826,Undirected
1991791,2415826,Undirected
2006063,2963811,Undirected
1992343,12385024,Undirected
1992343,6063374,Undirected
1992343,3939570,Undirected
1992343,36538624,Undirected
1992343,48588521,Undirected
1992343,49855224,Undirected
1992812,2392988,Undirected
1992812,3406936,Undirected
1992812,49916746,Undirected
1991999,6038504,Undirected
1991999,2178427,Undirected
1928290,25300989,Undirected
1928290,29667099,Undirected
1928290,49967773,Undirected
1928290,49936891,Undirected
1991524,45088562,Undirected
1991524,48884055,Undirected
1850664,49896844,Undirected
2004538,26731123,Undirected
2091936,45340860,Undirected
1863889,26114336,Undirected
1819808,45185186,Undirected
1819808,49682934,Undirected
1819808,49867985,Undirected
1990934,25300989,Undirected
1865671,32341835,Undirected
1865671,36538624,Undirected
1865671,49875076,Undirected
1991784,45163881,Undirected
1991784,49783220,Undirected
1991784,50023378,Undirected
1991784,49763300,Undirected
1991784,49915966,Undirected
1826859,19012164,Undirected
1826859,2178427,Undirected
1826859,2415826,Undirected
1859066,45039324,Undirected
1859066,48884055,Undirected
1859066,48588521,Undirected
1992576,12060503,Undirected
1992576,4515800,Undirected
16336571,47149066,Undirected
32641576,45094706,Undirected
32647915,32486569,Undirected
45095259,45205471,Undirected
5166365,36538624,Undirected
4971535,3804927,Undirected
4971535,49682934,Undirected
4756526,32435362,Undirected
4841686,32686082,Undirected
4983336,47149066,Undirected
5108667,26730771,Undirected
5108667,49641638,Undirected
5108667,50073142,Undirected
4886969,6038504,Undirected
4678461,2046188,Undirected
4678461,49641638,Undirected
4938521,32686082,Undirected
5348566,6449130,Undirected
5348566,45185186,Undirected
