id,label,category
30311456,La dueña (telenovela de 1995),telenovela
2899885,Alcanzar una estrella II,telenovela
2659808,Mi pequeña Soledad,telenovela
45185186,Lo blanco y lo negro,telenovela
45039324,Aprendiendo a amar,telenovela
50034729,Gente bien,telenovela
12060503,La otra (telenovela),telenovela
44734260,Ha llegado una intrusa,telenovela
49829307,Mi querida Isabel,telenovela
6063374,¡Vivan los niños!,telenovela
6449130,Amor en silencio,telenovela
45033491,Amor de nadie,telenovela
49855224,Canción de amor (telenovela),telenovela
26144851,"Zacatillo, un lugar en tu corazón",telenovela
48548443,Un camino hacia el destino,telenovela
3854854,Amor real,telenovela
49965579,Amor gitano (telenovela mexicana),telenovela
49916746,Preciosa,telenovela
26730771,Luz Clarita,telenovela
45205235,Las grandes aguas,telenovela
45681822,Encadenados (telenovela),telenovela
45465510,Seducción (telenovela),telenovela
50076902,El secreto de Alejandra,telenovela
31896749,Dos hogares,telenovela
3297493,Piel de otoño,telenovela
37444146,Te sigo amando,telenovela
27851364,Alma de hierro,telenovela
44757128,Lo que el cielo no perdona,telenovela
32486569,Esperanza del corazón,telenovela
5685147,La fea más bella,telenovela
45483445,Tal como somos (telenovela),telenovela
28116313,Simplemente María (telenovela de 1989),telenovela
27982218,Sueños y caramelos,telenovela
25971688,Juro que te amo,telenovela
36805363,El juego de la vida (telenovela mexicana),telenovela
49931824,Una luz en el camino,telenovela
26417455,Niña de mi corazón,telenovela
32686082,Miss XV,telenovela
61733608,Vencer el miedo,telenovela
32111200,El equipo,telenovela
33709206,Un refugio para el amor,telenovela
25300989,Mar de amor,telenovela
50015159,La jaula de oro (telenovela),telenovela
37180945,Bodas de odio,telenovela
45052335,Juegos del destino,telenovela
22921474,Camaleones (telenovela),telenovela
4453807,Aventuras en el tiempo,telenovela
3370569,Amigos por siempre (telenovela),telenovela
45542224,El alma no tiene color,telenovela
26114336,Entre el amor y el odio,telenovela
33720317,Amor bravío,telenovela
7891048,El diario de Daniela,telenovela
3145533,Rosalinda (telenovela),telenovela
37310395,Siempre te amaré (telenovela),telenovela
26731401,El derecho de nacer (telenovela de 2001),telenovela
30604219,Imperio de cristal,telenovela
49595649,Mágica juventud,telenovela
49896844,Alguna vez tendremos alas,telenovela
49850993,Azul (telenovela),telenovela
29378583,Vivo por Elena,telenovela
49736680,Bajo un mismo rostro,telenovela
47149066,La fuerza del amor (telenovela),telenovela
45205471,El ángel caído (telenovela),telenovela
45163881,La casa al final de la calle,telenovela
3804927,Corazón salvaje (telenovela de 1993),telenovela
49853610,Morir dos veces,telenovela
7905446,María la del barrio (telenovela),telenovela
50073142,"Salud, dinero y amor",telenovela
49885058,Tú y yo (telenovela),telenovela
47235222,La gata (telenovela de 2014),telenovela
2963811,Amigas y rivales,telenovela
3381621,Quinceañera (telenovela),telenovela
45036233,Al rojo vivo (telenovela),telenovela
49610651,Capricho (telenovela),telenovela
31008675,Ni contigo ni sin ti,telenovela
31267614,Rafaela (telenovela de 2011),telenovela
5547088,Sentimientos ajenos,telenovela
4515800,Barrera de amor,telenovela
3406936,Alborada (telenovela),telenovela
2046188,Mundo de juguete,telenovela
27482326,Cuando me enamoro (telenovela),telenovela
46273961,Caminos de Guanajuato,telenovela
45094706,Guadalupe (telenovela mexicana),telenovela
45340860,Marionetas (telenovela),telenovela
32915739,Amorcito corazón (telenovela),telenovela
47570086,Mentir para vivir,telenovela
5523348,Código postal (telenovela),telenovela
34162327,Amor cautivo,telenovela
49854542,Para toda la vida,telenovela
47130158,Cenizas y diamantes (telenovela),telenovela
48884055,Infamia (telenovela),telenovela
45185435,El cristal empañado,telenovela
45094787,La pasión de Isabela,telenovela
19012164,Un gancho al corazón,telenovela
49875076,La culpa (telenovela),telenovela
49763300,Retrato de familia (telenovela mexicana),telenovela
2046282,Cuna de lobos,telenovela
49858181,La sombra del otro,telenovela
49641638,Entre la vida y la muerte (telenovela),telenovela
45513470,Dos vidas (telenovela mexicana),telenovela
49936891,Infierno en el paraíso,telenovela
36538624,"Amy, la niña de la mochila azul",telenovela
12385024,Camila (telenovela),telenovela
2178427,Rubí (telenovela de 2004),telenovela
